# Step PotentialEnergy(eV) KineticEnergy(eV) TotalEnergy(eV)
4350 -5337.3083576618 951247.930435028 945910.622077366
4360 -5473.65323472925 947371.49195693 941897.838722201
4370 -6146.55617620734 947944.716435848 941798.16025964
4380 -6434.07948027297 948709.388169167 942275.308688894
4390 -5005.56830551832 948465.260057476 943459.691751958
4400 -7118.40324761247 948194.832362565 941076.429114952
4410 -5566.08498594421 943478.910930812 937912.825944868
4420 -6620.03835494317 942104.630016145 935484.591661202
4430 -5112.02902598331 940322.291317599 935210.262291615
4440 -5655.60438745064 937367.387350726 931711.782963275
4450 -8249.83643033804 937213.198877641 928963.362447303
4460 -5702.80693637673 934013.141139427 928310.33420305
4470 -5481.78841275705 934840.006708448 929358.218295691
4480 -5589.52103796523 932960.899868184 927371.378830219
4490 -6042.9325509134 929542.127438037 923499.194887123
4500 -5806.01673597273 928920.50818872 923114.491452747
4510 -4648.21854716253 928110.874251129 923462.655703967
4520 -4782.06505519146 932288.450156371 927506.38510118
4530 -5588.71887962716 933846.08662976 928257.367750132
4540 -5464.86370340594 932705.322496256 927240.45879285
4550 -5780.73178481298 931463.919326827 925683.187542014
4560 -5618.58781637918 930791.151132709 925172.563316329
4570 -4798.94889615339 929561.255933489 924762.307037336
4580 -6366.38724597401 934703.727004002 928337.339758028
4590 -6584.46990464784 943201.906838577 936617.43693393
4600 -5486.840552036 943386.922188958 937900.081636922
4610 -5764.52557634792 945434.791584374 939670.266008026
4620 -5291.43263984925 946483.01401747 941191.581377621
4630 -5961.83846469866 948070.747334921 942108.908870222
4640 -5485.96513221616 948563.097344114 943077.132211898
4650 -5961.05926374048 950515.682471027 944554.623207286
4660 -6681.65701160314 951463.579092888 944781.922081284
4670 -5793.3337704845 953450.27059919 947656.936828706
4680 -6065.55771499071 951982.208604924 945916.650889933
4690 -4702.97902681633 952329.405829213 947626.426802397
4700 -6186.49986282764 953639.513574582 947453.013711755
4710 -6467.63996062844 956899.680735305 950432.040774677
4720 -5044.8363650698 955603.569556674 950558.733191604
4730 -5548.50967864497 957813.610977991 952265.101299346
4740 -5401.86159279723 958254.344314021 952852.482721224
4750 -5766.46950382581 960042.949474007 954276.479970181
4760 -5040.70088512612 959709.626821473 954668.925936347
4770 -9344.60476583342 964364.369192449 955019.764426615
4780 -6612.61619749908 963876.216186205 957263.599988706
4790 -5325.44821973732 962583.37946511 957257.931245373
4800 -5708.21179181914 961036.88646912 955328.674677301
4810 -5342.16290485954 955414.594382363 950072.431477503
4820 -5806.8598806548 953566.12483693 947759.264956275
4830 -5189.67541182844 954924.140020732 949734.464608904
4840 -7358.46904864805 957675.112173164 950316.643124516
4850 -5486.45499686066 955376.359862809 949889.904865949
4860 -6148.8935045357 953978.312195217 947829.418690681
4870 -6171.82696635401 952216.336941314 946044.50997496
